id,date,content,Emotion
32,2022-09-08 17:33:58+00:00,rest peace your majesty pensiveregional indicator,5.0
33,2022-09-08 17:33:26+00:00,rip queen lizzie,7.0
34,2022-09-08 17:28:11+00:00,thinking about the queen treats her death just like how beyonc treats her album releases,0.0
35,2022-09-08 16:54:03+00:00,between harry styles not being able british accent his new movie and the queen dying dont know england ever recovers from this,1.0
36,2022-09-08 16:31:18+00:00,thoughts are with her majesty queen elizabeth this time wishing her well and sending best the royal family flag for united kingdomregional indicator,3.0
37,2022-09-08 16:23:37+00:00,true you never actually see her majesty yes ministeryes prime ministeraside staying late watch ytv was the reason only ever saw the last half episodes keeping appearances,5.0
38,2022-09-08 16:14:39+00:00,break work watch the death music video face with hand over mouth,4.0
39,2022-09-08 15:59:24+00:00,god save her majesty our queen prayers and thoughts from canada flag for canada queenelizabethii godsavethequeen royalfamily,3.0
40,2022-09-08 15:54:42+00:00,has been wrapping her head around the concepts the queen and death lately happens fear there will shortly lot more questions,0.0
41,2022-09-08 15:50:12+00:00,know nothing about how the monarchy affects canada whats this gonna mean for pretty sure theyre announcing her death like hour,2.0
42,2022-09-08 15:41:53+00:00,got the rip bozo tweet sitting hot drafts don make delete,7.0
43,2022-09-08 15:39:07+00:00,the victims fascism and the comrades who fought against ethnic genocide imperialism oppression and death those that fought franco and came home ostracized,0.0
44,2022-09-08 15:21:59+00:00,will observing the days mourning her majesty deserves our tributes and praise this time,3.0
45,2022-09-08 14:56:40+00:00,death watch,0.0
46,2022-09-08 13:56:40+00:00,not the business rejoicing peoples deathhowever aint sad either them royals did some pretty bad stuff rid the whole royal line,5.0
47,2022-09-08 13:44:49+00:00,there going almost certainly interesting footage the shift the streetspublic spaces when people around england find out,5.0
48,2022-09-08 13:41:57+00:00,hard over emphasize how upsetting the death queen elizabeth will for the surviving british wwii generation like year old mom seems silly younger generations but the royals were deeply important the war generation,6.0
49,2022-09-08 13:28:15+00:00,deathlets real,3.0
50,2022-09-08 12:55:09+00:00,what are the odds that queen elizabeth already out office but the british royal family amp british gov bureaucracy are delaying official announcing til everyone ready amp the core royals like prince charles amp william are their assigned places when made public,5.0
51,2022-09-08 12:36:39+00:00,lord the media about elizabeth death literally,6.0
52,2022-09-08 03:54:49+00:00,happy birthday eazyduzit aka eazye rip blue heartdove peace,7.0
53,2022-09-08 00:44:20+00:00,thanks unfortunately hooked directly with paying this telecom company and all they rip off rogersoutage rogers mostexpensiveinternet,7.0
0,2022-09-09 17:11:23+00:00,god save the kingkingcharles kingcharlesiii,3.0
1,2022-09-09 04:56:46+00:00,the queen rip september buckingham palace,7.0
2,2022-09-09 03:44:26+00:00,rip queen elizabeth montreal quebec,7.0
3,2022-09-08 18:26:21+00:00,big incentive science and technology her majesty queen elisabeth acted upon call honor scientists and engineers balloon she will greatly missed hope prince charles the future king will follow her example,5.0
4,2022-09-08 17:45:23+00:00,the death queen elizabeth live updates charles immediately became king upon the death his mother heir apparent since the age three has been the longest serving heir the throne british history and hes divorcee,5.0
5,2022-09-08 17:38:34+00:00,breaking her majesty died balmoral castle minutes ago wiil harry her heir,1.0
6,2022-09-08 17:34:47+00:00,rip her majesty the queen heart,7.0
7,2022-09-08 10:21:55+00:00,folded hands medium skin tone rip beauties,7.0
8,2022-09-08 01:11:48+00:00,heartbroken hear that you have passed please run and frolic with all the other dogs over the rainbow bridge please watch over your family rip,7.0
0,2022-09-09 22:53:55+00:00,heartfelt tribute her majesty queen elizabeth from prime minister justin trudeauregional indicator,5.0
1,2022-09-09 22:35:32+00:00,was disrespectful when was there and completely ignored royal protocol doubt the royal family would want him there,0.0
2,2022-09-09 22:35:05+00:00,bard artistic director christopher gaze and his mother joy gaze join stephen quinn and other vancouver artists remember her majesty the queen listen arrow downwhite heart,5.0
3,2022-09-09 21:07:27+00:00,clinking glasses toast the queen clinking glasses was loss for words when she met her majesty elizabethii find out how she grabbed the queen attentionwatch,1.0
4,2022-09-09 19:36:07+00:00,once again bbc news takes controversial editorial stance kingcharles,1.0
5,2022-09-09 18:42:56+00:00,while wont criticize the eff their press release light queen elizabeth death one the best yet,0.0
6,2022-09-09 17:38:15+00:00,hardly side acknowledge awful about her death absolutely earned any judgement jests are grave dancing but for the people affected her policies her youth the institutions she represents its entirely different story,0.0
7,2022-09-09 17:10:44+00:00,such life service her majesty has given has there ever been more beloved monarch,3.0
8,2022-09-09 17:10:20+00:00,darling mamaheart queenelizabeth kingcharles,3.0
9,2022-09-09 16:17:27+00:00,very emotional day for everyone london whether you supported the royal family not think everyone just taking minute process and grieve says farah vancouver woman living london,0.0
10,2022-09-09 16:10:17+00:00,here projection screen for all you egocentric woke assholes making the queen death about your shtty contracted politics,1.0
11,2022-09-09 15:55:53+00:00,save the king kingcharles,5.0
12,2022-09-09 15:22:36+00:00,heartbroken the loss our selfless compassionate queen who dedicated her life the people the united kingdom flag for united kingdom and beyond earth africa without hesitation rest easy your majesty the company your lifelong love and the arms god godsavethequeen,5.0
13,2022-09-09 14:13:49+00:00,clapping hands mediumlight skin toneemoji modifier fitzpatrick type lisa laflamme join citynews lead correspondent following queens death via,5.0
14,2022-09-09 12:41:14+00:00,seems devoid normal human reactions someone who wants lead the con party and the country has issued message regret the death the queen this reflects his shallow nature,6.0
15,2022-09-09 09:16:55+00:00,still trying wrap mind around this rip queenelizabethii heart,7.0
16,2022-09-09 06:09:20+00:00,queen elizabeth queenelizabeth,10.0
17,2022-09-09 05:52:01+00:00,rip queen elizabeth her majesty has returned her prince philliprainbow,7.0
18,2022-09-09 05:07:56+00:00,having some poutine the queen commonwealth canada her honor rip poutineforthequeen,7.0
19,2022-09-09 05:06:13+00:00,think possible send sympathies for the death human being while being realistic the suffrage that the monarch has caused,0.0
20,2022-09-09 04:36:42+00:00,text her tell her ain only england who lost their queen,6.0
21,2022-09-09 03:05:16+00:00,elizabeth had two severely disabled first cousins who were pronounced dead the and placed institution where they were never once visited any member the royal family for the duration their natural lives nerissa died katherine,0.0
22,2022-09-09 01:47:41+00:00,please mindful today how your comments social media might impact the millions people the royal family has tried exterminate indoctrinate displace over the centuries order grab their land,6.0
23,2022-09-09 01:30:48+00:00,remembering thequeen today and how years ago she made quite impression some young students she quite approved friend karen major english whilst cracking joke about mine she also graciously accepted our corner storebought flowers rip your majesty,7.0
24,2022-09-09 01:29:28+00:00,such terribly sad day her majesty the queen has died truly remarkable woman who served her country with dignity loyalty and grace comforting ever present the lives most rest peace your majesty,5.0
25,2022-09-09 01:18:49+00:00,she died scotland for eternity her death will land claim scotland the end she hung legitimizing english occupation scotland heavy cried mother was born scotland our roots don belong the people who steal our trees,5.0
26,2022-09-09 01:11:42+00:00,her majesty queen elizabeth was superb and gracious hostess her dinner companion not her league,5.0
27,2022-09-09 00:56:43+00:00,hamilton heist university students tried repatriate scotland coronation stone that was stolen england the stone destiny,1.0
28,2022-09-09 00:03:41+00:00,what happens canadas currency stamps place names after the queens death via,0.0
29,2022-09-09 00:02:58+00:00,great thumbs light skin tone photo her majesty two hearts,3.0
30,2022-09-08 23:58:59+00:00,rest peace ladner,5.0
31,2022-09-08 23:56:57+00:00,you certainly worked hard for the betterment this world rip pray,7.0
32,2022-09-08 23:42:44+00:00,will miss her trudeau mourns the death canadas queen pmjt said the monarch was thoughtful wise curious helpful funny and much more complicated world her steady grace amp resolve brought comfort and strength all cdnpoli,5.0
33,2022-09-08 23:32:14+00:00,today lowered our flags half mast honour her majesty the queen elizabeth her passing the end era she the presence christ now ive admired her for many things but nothing more than her personal christian faith,3.0
34,2022-09-08 22:56:48+00:00,the immediate aftermath one our country worst mass killings care infinitely more about that tragedy and the legacy colonial violence have yet unravel than about the passing england monarch was impressive run but she was never queen,0.0
35,2022-09-08 22:42:12+00:00,saskatoon police investigate myles sanderson death,0.0
36,2022-09-08 22:42:01+00:00,statement the passing her majesty queen elizabeth,3.0
37,2022-09-08 21:14:21+00:00,god rest the queen queenelizabethkahloart the always awesome queen queenelizabeth rip godsavethequeen vancouver canada,7.0
38,2022-09-08 21:12:47+00:00,send our condolences the royal family the passing her majesty queen elizabeth flags langara college are lowered halfmast recognition her long reign and service canada head state,3.0
39,2022-09-08 21:05:37+00:00,rest peace her majesty queen elizabeth may she rest peace vancouver british columbia,5.0
40,2022-09-08 21:04:13+00:00,the queens last christmas rip queenelizabeth,7.0
41,2022-09-08 21:01:57+00:00,just got this text from year old dadvery sad the passing queen princess she took the salute graduation sandhurst may she rest peace,5.0
42,2022-09-08 20:57:56+00:00,perfect time for the change the national anthem something about the people and not the royal family thumbs light skin tone,2.0
43,2022-09-08 20:51:25+00:00,think youre right about the public schools but have different perspective them because the etonharrowwinchesterwestminster system much greater proportion elite male decisionmakers england were raped high school than other countries,3.0
44,2022-09-08 20:45:17+00:00,iranian version reaction the queens death,0.0
45,2022-09-08 20:38:48+00:00,anyone posting that nonsense fails take into account that the beloved sovereign her year life good innings your majesty and you have more than earned the right rest peace,3.0
46,2022-09-08 20:35:05+00:00,rip now that she dead can get her the hell off our money,7.0
47,2022-09-08 20:30:05+00:00,hrm ripas millions across canada and the commonwealth grieve the loss our queen condolences and contemplation for extraordinary life well lived and the end era,5.0
48,2022-09-08 20:29:41+00:00,the final illness and passing our beloved queen via peaceresttohermajestythequeene sharing with dearest,0.0
49,2022-09-08 20:16:41+00:00,the london bridge down rip queenelizabethii she was the queen united kingdom australia canada new zealand jamaica antigua amp barbuda the bahamas belizegrenada papua new guinea solomon islands kitts and nevis luciast vincent the grenadines and tuvalu,7.0
50,2022-09-08 20:02:56+00:00,rest peace your majesty thank you for your dedication blue heartsleepy,5.0
51,2022-09-08 19:54:38+00:00,nothing would change just like the royal family trudeau does nothing and the tax payers pay him just like the royal family,0.0
52,2022-09-08 19:50:42+00:00,rest peace queenelizabeth queenelizabethii,5.0
53,2022-09-08 19:48:47+00:00,rip rainha,7.0
54,2022-09-08 19:48:41+00:00,rip queen elizabeth crown,7.0
55,2022-09-08 19:39:48+00:00,mourning the loss queenelizabeth queen canada this sad day may her memory blessing all her years service touched sending love the whole royal family,6.0
56,2022-09-08 19:31:14+00:00,all colleagues and friends the condolences the passing queen elizabeth total dedication her duty her reign spanned prime ministers starting with winston churchill born and including truss born years later rip,7.0
57,2022-09-08 19:27:32+00:00,pass that wrench will sparky rip broken heart,7.0
58,2022-09-08 19:21:43+00:00,the matriarch england has passed,10.0
59,2022-09-08 19:20:15+00:00,very sad remember her majesty visit canada with the queen mother many years ago condolences all the commonwealth and the british people,5.0
60,2022-09-08 19:20:03+00:00,hopefully her death will also mark the end the monarchy worldwide,0.0
61,2022-09-08 19:16:43+00:00,read the first full statement from king charles iii following the death his mother,5.0
62,2022-09-08 19:07:03+00:00,sending condolences the royal family ukbritain and all who love and were touched the life queen elizabeth may all find peace grace compassion and wisdom,5.0
63,2022-09-08 18:55:55+00:00,gumsandmaplesradio with and dnb dnb drumandbass capital there mourn the death queenelizabeth god save the queen may she ripqueen,0.0
64,2022-09-08 18:48:59+00:00,rip she was one kind and will missed the queen and her husband are together now,7.0
65,2022-09-08 18:43:52+00:00,congrats your majesty,3.0
66,2022-09-08 18:43:40+00:00,rip your majesty long live the queen flag for canadaregional indicator,7.0
67,2022-09-08 18:38:08+00:00,deeply saddened the death the queen dedicated supporter scouts her majesty has been peerless role model for our young people our thoughts are with the royal family,5.0
68,2022-09-08 18:33:38+00:00,rest peace queenelizabethii,5.0
69,2022-09-08 18:27:49+00:00,our statement the passing her majesty elizabeth queen canada the queen dead god save the king,5.0
70,2022-09-08 18:24:27+00:00,deeply saddened the passing her majesty queen elizabeth queen canada what remarkable life she led grateful for her selfless service over years thoughts and prayers are with his majesty king charles iii and the royal family long live the king,5.0
71,2022-09-08 18:23:23+00:00,this quite wonderful rip queen elizabeth,7.0
72,2022-09-08 18:17:44+00:00,elizabeth variation the steampunk style rest peace queen elizabeth elizabethii,5.0
73,2022-09-08 18:13:55+00:00,the utmost example grace amp service rip revolving hearts godblessthequeen,7.0
74,2022-09-08 18:12:16+00:00,pray please world dont make this worse than let her rest peace,5.0
75,2022-09-08 18:10:08+00:00,heard about princess dianas death era chatroom and heard queen elizabeths death poker table hail the traveler its good hear news and commiserate with random people public spaces,5.0
76,2022-09-08 18:09:56+00:00,farewell your majesty,3.0
77,2022-09-08 18:06:54+00:00,the breaking news totally was breaking news classroom that interrupted the whole class rip our beloved queen queen elizabeth the ripqueenelizabeth,7.0
78,2022-09-08 18:03:56+00:00,the queen has passed rest peace pray,5.0
79,2022-09-08 18:03:26+00:00,always admired the queen and the british monarchy this strong woman death has repelling effects around the world even though her position was symbolic rip queen elizabeth,7.0
80,2022-09-08 17:56:38+00:00,rip her royal majesty queenelizabethii crylondon bridge down vancouver british columbia,7.0
81,2022-09-08 17:56:09+00:00,rest peace her majesty end era queen elizabeth has died aged,5.0
82,2022-09-08 17:54:35+00:00,rest peace queen crown queenelizabeth,5.0
83,2022-09-08 17:53:40+00:00,deeply sad listen that our queen elizabeth today great lost for canadians god save the queen flag for canada condolences the royal family,3.0
84,2022-09-08 17:51:57+00:00,and her end may mark the beginning the end the monarchy rest peace elizabeth windsor,5.0
85,2022-09-08 17:51:20+00:00,unless the next coronation takes place the edge waterfall and involves fight the death colour uninterested sorry the british monarchy but you gotta step your game you gonna compete today mindshare landscape,6.0
86,2022-09-08 17:50:34+00:00,how buckingham palace get the scoop the queen death before tmz,0.0
87,2022-09-08 17:48:59+00:00,are all deeply saddened hear the passing her majesty the queen elizabeth our thoughts prayers amp condolences are with the royal family and everyone around the world mourning the loss her majesty queenelizabeth ripqueenelizabeth unitedkingdom,3.0
88,2022-09-08 17:48:33+00:00,does england cease exist,10.0
89,2022-09-08 17:46:04+00:00,will always remember her grace and quiet but determined voice today our thoughts are with her family they mourn their matriarch queenelizabeth rip,7.0
90,2022-09-08 17:44:38+00:00,rip queen,7.0
91,2022-09-08 17:44:08+00:00,rip queen princess light skin tone,7.0
92,2022-09-08 17:38:35+00:00,breaking the confirms the death the queen today balmoral surrounded immediate family she was years old,0.0
93,2022-09-08 17:38:27+00:00,rip the queen,7.0
94,2022-09-08 17:38:22+00:00,rest peace queen,5.0
95,2022-09-08 17:35:16+00:00,wow rip the queen,7.0
96,2022-09-08 17:18:28+00:00,rip second beach,7.0
97,2022-09-08 17:10:19+00:00,death rattle lol,0.0
98,2022-09-08 16:33:58+00:00,joking about someones impending death not funny,0.0
99,2022-09-08 15:51:55+00:00,thoughts and prayers with her majesty queen elizabeth today news that doctors are concerned for her health longlivethequeen queenelizabeth queenofcanada,0.0
100,2022-09-08 14:40:40+00:00,great individual rip,7.0
101,2022-09-08 12:26:05+00:00,genocidenomore ontario onpoli cdnpoli canada provincialgenocidalregime noaccountability endviolenceagainstindigenous haventyoucausedusenoughtraumacanada canadaistoblame whenwillcanadaadmittogenocide howmanymorecasualtiesbeforecanadaadmitsgenocide flag for canada death genocide,0.0
102,2022-09-08 08:06:25+00:00,rip love still miss you everday,7.0
103,2022-09-08 03:36:24+00:00,andnew aew trios champions death triangle pac with little help from with the victory pac becomes the first person aew history hold two titles once,2.0
104,2022-09-08 02:05:05+00:00,red death baby,0.0
105,2022-09-08 01:37:32+00:00,feel like death,0.0
106,2022-09-08 01:37:20+00:00,live rcmp press interview apprehension and death myles sanderson suspect the saskatchewanstabbingsemoji modifier fitzpatrick type,0.0
107,2022-09-08 01:16:25+00:00,richmond drivers are bad enough but motorcyclists with death wish don help this dude weaved through traffic casually and illegally while were speed limit inexperienced driver might react poorly and would result dead motorcyclist,6.0
108,2022-09-08 00:12:32+00:00,old white entitled guys will the death,2.0
0,2022-09-09 21:48:43+00:00,rest peace queenelizabethii,5.0
1,2022-09-09 14:53:38+00:00,may her majesty forever rest peace,5.0
2,2022-09-09 14:51:20+00:00,bbcnews kingcharles address nation monarch for firsttime,3.0
3,2022-09-09 11:57:46+00:00,bbcnews national life after queens death will schools close,0.0
4,2022-09-09 10:07:53+00:00,dislike hereditary institutions not only because they are indifferent towards merit but because one never knows whether their family will mourn their death rejoice,6.0
5,2022-09-09 09:22:11+00:00,and the duke sussex has decided not visit her majesty during the summer balmoral despite having invitation from his grandmother and his father thats the difference the others the duke cambridge the duke york and count and countness wessex,5.0
6,2022-09-09 06:13:13+00:00,swear heaven death and the dark destructive sea let the hand raise strike with tremendous rage otello infuriated over desdemonas seeming infidelity only one tenor can portray him all his despair with sergei leiferkus iago roh london,1.0
7,2022-09-09 06:08:44+00:00,life service endsher majesty the queen elizabeth queenelizabeth thequeenunitedkingdom commonwealth theroyalfamily,3.0
8,2022-09-09 02:04:39+00:00,just had wee cry watching bbc world news back hotel truly she was wonderful monarch cherished part british life and the nation grandmotherrest peace amqueenelizabeth,3.0
9,2022-09-08 23:07:52+00:00,may she rest peace god save the king,5.0
10,2022-09-08 21:46:42+00:00,the queen was old school duty and decency despite all the entitelmentthis ethos will missedrip,3.0
11,2022-09-08 21:27:19+00:00,queen death granddad was german war refugee among many jobs was history tutor prince philip when was army then out blue years later invited him his wedding with liz special family and don get started thequeen mum brandy brkfast lived,5.0
12,2022-09-08 21:20:46+00:00,rest peace queenelizabethii disappointed relieved flag for united kingdomflag for bulgaria,5.0
13,2022-09-08 20:40:07+00:00,rip jean,7.0
14,2022-09-08 20:31:33+00:00,rip her majesty cry flag for united kingdom,7.0
15,2022-09-08 20:00:30+00:00,queen elizabeth death party this weekend fabric london its gonna mad ting innit,0.0
16,2022-09-08 19:59:51+00:00,the crown season spoiler alert rip queenelizabethii,7.0
17,2022-09-08 19:59:38+00:00,rest peace candlepensive,5.0
18,2022-09-08 19:58:50+00:00,crown from elisabeth coronation made for kids spare money mourn facing her death right now,1.0
19,2022-09-08 19:33:21+00:00,very much somay she rest peace queenelizabeth,5.0
20,2022-09-08 19:26:25+00:00,they keep you busy what she asked with her famous smile memory the queen keep forever when went windsor launch bqfp and smuggled picture the chandelier out rip,7.0
21,2022-09-08 19:21:10+00:00,rip queen london england artoftheday art artwork phili,7.0
22,2022-09-08 19:20:22+00:00,like say please feel free unfollow you dont like opinions not here for you really really detest the idea and actuality the royal family evidently you dont thats cool off and wave flag you wish will,1.0
23,2022-09-08 19:19:49+00:00,very sad day with the death her majesty the queen our world has lost graceful and timeless monarch anchor stability and unity during those many stormy decades world history germany our hearts and thoughts are with the and our british friends,5.0
24,2022-09-08 19:16:13+00:00,most public school days started with singing god save the queen she was powerful example leading with grace sad for the world happy for her such long influential life and peaceful death heaven richer today,3.0
25,2022-09-08 19:06:38+00:00,rip queen elizabeth,7.0
26,2022-09-08 19:06:20+00:00,rip the queen elizabeth from the british embassy berlin she was the queen for all those years and will never forgotten brandenburger tor,7.0
27,2022-09-08 18:50:03+00:00,statement from secretary general the death queen elizabeth,3.0
28,2022-09-08 18:31:53+00:00,together with his majesty the king and all the royal family mourn the passing her majesty queenelizabeth may she find eternal peace,5.0
29,2022-09-08 18:31:35+00:00,can only echo these words the federal chancellor and bow head respect her majesty,3.0
30,2022-09-08 18:29:05+00:00,chancellor olaf scholz mourn the death queen elizabeth she was role model amp inspiration for millions also here germany her commitment flag for germanyregional indicator reconciliation after the horrors wwii will remain unforgotten she will missed not least her wonderful humour,5.0
31,2022-09-08 18:27:27+00:00,when life seems hard the courageous not lie down and accept defeat instead they are all the more determined struggle for better futurequeenelizabeth rip,7.0
32,2022-09-08 18:18:38+00:00,thank you goodbye her majesty rest peaceflag for united kingdom,5.0
33,2022-09-08 18:17:34+00:00,rip queenelizabeth sad,7.0
34,2022-09-08 18:07:55+00:00,rest peace,5.0
35,2022-09-08 18:07:20+00:00,thank you your majesty queenelisabeth,3.0
36,2022-09-08 17:52:10+00:00,thank you your majesty for everything you have done for broken heartdisappointed relievedmay you rest peaceelizabeth queenelizabeth,5.0
37,2022-09-08 17:51:12+00:00,black heart rest peace queen elisabeth,5.0
38,2022-09-08 17:50:37+00:00,rest peace the queen,5.0
39,2022-09-08 17:45:39+00:00,rest peace her majesty queenelizabeth,5.0
40,2022-09-08 17:43:58+00:00,rest peace candle via,5.0
41,2022-09-08 17:43:38+00:00,god save the queen rip queenelizabeth queen,7.0
42,2022-09-08 17:40:38+00:00,rip her majesty the queen true legend has passed away flag for united kingdom,7.0
43,2022-09-08 17:40:28+00:00,rest peace queen elizabeth,5.0
44,2022-09-08 17:39:46+00:00,ich habe ehrlich gesagt mixtfeelings rest peace though your highness queenelizabeth,5.0
45,2022-09-08 17:38:37+00:00,will all miss her majesty the queen rip,7.0
46,2022-09-08 17:36:12+00:00,white frowning facerest peace elisabeth,3.0
47,2022-09-08 17:35:50+00:00,rest peace,5.0
48,2022-09-08 17:35:36+00:00,rest peace her majesty black heart,5.0
49,2022-09-08 17:33:47+00:00,may her majesty rest peace cry queenelizabeth,5.0
50,2022-09-08 17:32:31+00:00,wait was the guardianrip queeny,6.0
51,2022-09-08 17:11:17+00:00,too dont till her death but she symbolic,0.0
52,2022-09-08 17:03:45+00:00,intrigued find out who initial source the news her majestys passing shall beprobably jedward again theyre usually first the post the big world events,10.0
53,2022-09-08 15:28:44+00:00,this really doesnt sound good disappointed relievedroyal family gathering balmoral significant moment news sky news,5.0
54,2022-09-08 15:06:18+00:00,rip queen elizabeth lmfaooo,7.0
55,2022-09-08 14:36:03+00:00,thinking about and praying for queenelizabeth and her family her majesty under medical supervision with ill health,0.0
56,2022-09-08 14:12:32+00:00,her majesty queen elizabeth pictured windsor copyright copyright derek hudsongetty images,3.0
57,2022-09-08 09:19:54+00:00,favourite falafel berlin for many years when lived urbanstr years ago literally eat every day was the only place youd sometimes have wait for service they were praying they used kind herbmix one else did rip and thanks for the grub,7.0
0,2022-09-09 21:13:43+00:00,least the kardashains had the decency give sex tape what the fuck has the royal family given,5.0
1,2022-09-09 19:09:43+00:00,infosec twitter here are our startups that help companies outsource their security needsalso infosec twitter patreon outsourced their security needs lmbo rip pray,7.0
2,2022-09-09 06:02:18+00:00,rest peace queenelizabeth prince,5.0
3,2022-09-09 05:58:05+00:00,london bridge down the secret plan for the days after the queen death first published via,2.0
4,2022-09-08 22:58:39+00:00,whatever one opinion monarchy she was certainly one the best examples itrip,10.0
5,2022-09-08 22:54:42+00:00,lucky saw her the platinum jubilee closing ceremonyfrom june june traveled england scotland and northern ireland the queens flag was everywhere the queen relies her own efforts and dedication win the love the british not just the crown,5.0
6,2022-09-08 19:40:03+00:00,rest peace your majesty black heart queen,5.0
7,2022-09-08 19:15:49+00:00,why all had such affection for the queen rest peace queen elizabeth,5.0
8,2022-09-08 19:05:20+00:00,queen elisabeth queenelizabeth rip april september thankyou for your service munich germany,7.0
9,2022-09-08 18:14:38+00:00,rest peace queenelizabeth black heart,5.0
10,2022-09-08 17:58:31+00:00,rest peace queenelisabeth,5.0
11,2022-09-08 17:41:06+00:00,rip her majesty,7.0
12,2022-09-08 17:36:26+00:00,may she rest peace she was extraordinary woman flag for united kingdom queenelizabeth,5.0
13,2022-09-08 14:51:52+00:00,and the boys workshopping jokes about the queens death,0.0
0,2022-09-09 20:41:19+00:00,may her soul rip nation are with the family and fellow citizens this moment griefits indeed shameful act for state mourning hopefully gives guard honour their masters but indian republic shouldnt,7.0
1,2022-09-09 19:09:39+00:00,sad see that bjp trolling that rahul gandhi wearing shirt and going for bharatjodoyatra campaigning did bjp wants say that bharatjodoyatra campaigning you should kingcharles bharatjodoyatra congress,0.0
2,2022-09-09 18:45:50+00:00,kingcharles king charles iii greeting the crowds outside buckingham palace blue heartkingcharles royal royalfamily,5.0
3,2022-09-09 14:58:01+00:00,rate speed which wheels justice move would choke personto deathhigh time matters concerning lifeamp liberty are dealt creating dedicated district judiciary amp cadre competent men each district handle such matters,3.0
4,2022-09-09 14:31:47+00:00,rest peace cryheart,5.0
5,2022-09-09 14:12:04+00:00,recently lost tycoon unfortunate incident keep the harm away and play safe seat belts are most essential while travelling car important message from gadkari rip mistri,7.0
6,2022-09-09 13:55:37+00:00,indeed for death indeed for rip,7.0
7,2022-09-09 13:13:54+00:00,death leaves heartache onecan heallove leaves memoryno one can steal,6.0
8,2022-09-09 13:13:22+00:00,prince william duke cambridge with mrs camilla parker bowles changeofguard queenelizabeth england,5.0
9,2022-09-09 12:20:59+00:00,its bad publicly diss the death family member that plundered and terrorised your land and ancestors but far worse publicly celebrate and honour their legacy,0.0
10,2022-09-09 12:18:39+00:00,mythvsfactdo these trinity gods take birth facts shri brahma visnu and shiva are birth and death durga the mother tridev sant rampal maharaj,3.0
11,2022-09-09 12:04:59+00:00,supreme court stays demolition curlies restaurant goa sonali phogat death linked this restaurant,0.0
12,2022-09-09 12:00:49+00:00,the government india has declared state mourning the honour death queen elizabeth september sundayon this day the tricolor will halfmasted everywherequeenelizabeth,6.0
13,2022-09-09 11:53:58+00:00,the royal family and royalists are deeply classist and pretend food security issues dont exist this was always the cards,3.0
14,2022-09-09 11:34:17+00:00,with the queens death seems english also diedkenya grab,1.0
